Z,N,exp,sd,SKM,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,A,AME2016,S2n_16,AME2003,S2n_03
15.0,16.0,23.63033,0.00036,24.335737,24.786366,24.303463,24.544305,24.552525,24.657283,31.0,262.91617699999995,23.630332999999922,262.916518,23.63090600000001
15.0,18.0,18.03944,0.00109,17.430173,20.047106,19.063818,18.970814,17.958987,18.8043,33.0,280.955598,18.03942100000006,280.955763,18.039244999999994
15.0,20.0,14.66309,0.00216,15.014035,14.331306,15.914867,15.61572,15.023767,15.433048,35.0,295.618715,14.663117,295.618645,14.662882000000025
15.0,22.0,10.28083,0.03799,12.316522,11.428018,10.633141,10.997176,11.14533,10.065742,37.0,305.899535,10.280820000000006,305.897685,10.279040000000009
15.0,24.0,9.92127,0.11886,11.307319,9.720528,9.70003,9.673642,9.420544,9.431999000000001,39.0,315.82079100000004,9.921256000000028,315.91989,10.022204999999985
15.0,26.0,8.34777,0.16471,10.352615,8.556782,8.31092,8.395053,8.276488,7.66668,41.0,324.168591,8.34779999999995,324.465308,8.545417999999984
15.0,28.0,6.48304,0.56757,8.8064,7.222747,6.52581,7.011982000000001,7.012764,6.511157,43.0,330.651596,6.4830049999999915,329.565502,5.100193999999988
16.0,14.0,34.27509,0.16,32.807511,32.38729,32.58539099999999,32.651256,33.396479,33.792173,30.0,243.68121,34.275090000000006,243.68451,34.27839
16.0,16.0,28.09891,0.00021,26.335131,26.878233,26.277899,26.843388,26.88294,27.332035,32.0,271.78012800000005,28.098918000000054,271.780288,28.095777999999996
16.0,18.0,20.05878999999999,4e-05,19.501597,21.295785,21.31598,21.25638,20.159982,21.301398,34.0,291.83893199999994,20.058803999999895,291.839034,20.058746000000042
16.0,20.0,16.87508,0.00019,16.978267,17.514365,18.147639,17.761888,17.128535,17.80009,36.0,308.714004,16.875072000000046,308.71393200000006,16.87489800000003
16.0,22.0,12.33971,0.00717,14.112171,13.389029,12.660961,13.024945,13.156533,12.151359,38.0,321.053716,12.33971200000002,321.053716,12.339783999999952
16.0,24.0,12.11928,0.0082,12.732296,11.320384,11.528222,11.346869,11.090273,11.276589,40.0,333.173,12.119283999999993,333.20172,12.148004000000014
16.0,26.0,10.94253,0.00486,12.248195,10.33044,10.345004,10.266897,10.110787,9.510311,42.0,344.115534,10.942534000000023,344.15526600000004,10.953546000000017
16.0,28.0,7.70912,0.00592,10.257747,8.861087,8.061786,8.529292,8.566568,7.881391000000001,44.0,351.82466000000005,7.709126000000026,351.73657199999997,7.581305999999927
17.0,16.0,30.11142,0.00347,28.511729,29.23862,28.620055,29.110721,29.100375,29.76526,33.0,274.05691499999995,30.11143599999997,274.057014,30.078922999999975
17.0,18.0,24.15283,0.00039,22.044875,23.757969,23.842585,23.693093,22.599558,24.002779,35.0,298.20973000000004,24.15281500000009,298.20973000000004,24.152716000000055
17.0,20.0,18.89064,6e-05,19.359824,19.916083,20.579679,20.151772,19.468374,20.420068,37.0,317.10039700000004,18.890667000000008,317.10036,18.890629999999987
17.0,22.0,14.1813,0.00173,16.11403,15.481677,14.851693,15.174826,15.318441,14.455459,39.0,331.28167800000006,14.181281000000013,331.28167800000006,14.181318000000033
17.0,24.0,13.64962,0.06875,14.641389,13.319639,13.247759,13.223542,13.219049,12.959822,41.0,344.93131900000003,13.649640999999974,344.93127799999996,13.649599999999907
17.0,26.0,12.99495,0.09246,13.961212,12.131215,12.149822,12.010062,11.933686,11.449201,43.0,357.926238,12.994918999999982,357.93492399999997,13.003646000000003
17.0,28.0,10.24567,0.14956,12.147192,10.599162,10.131457,10.369064,10.393275,9.806379,45.0,368.17190999999997,10.245671999999956,368.272035,10.33711100000005
18.0,16.0,32.32057,0.00177,30.557113,31.418052,30.806717,31.369187,31.166196,32.182131,34.0,278.72084800000005,32.32059200000006,278.71976,32.31966400000002
18.0,18.0,27.99588,8e-05,24.453922,26.115792,26.262917,26.060343,24.941979,26.631784,36.0,306.716724,27.995875999999953,306.716724,27.99696399999999
18.0,20.0,20.62592,0.0002,21.602775,22.1586,22.915286,22.46475,21.728585,22.976853,38.0,327.34264,20.625916000000018,327.34237399999995,20.62564999999995
18.0,22.0,16.46771,0.00019,18.009837,17.499592,16.953707,17.27237,17.391533,16.646674,40.0,343.81036,16.467719999999986,343.81036,16.467986000000053
18.0,24.0,15.52541,0.00578,16.478967,15.202654,14.985309,15.062041,15.244759,14.658705,42.0,359.335746,15.525385999999969,359.335746,15.525385999999969
18.0,26.0,14.39321,0.00599,15.613035,13.852103,13.92571,13.752624,13.675982,13.355053,44.0,373.72896000000003,14.393214000000057,373.728784,14.393038000000047
18.0,28.0,13.24231,0.00194,13.907637,12.244843,12.029346,12.113839,12.113589,11.591012,46.0,386.971274,13.242313999999965,386.918466,13.189682000000005
19.0,18.0,29.76994,0.00052,26.788889,28.461329,28.652575,28.39268,27.25399,29.173794,37.0,308.57433899999995,29.769938999999965,308.57433899999995,29.773928999999953
19.0,20.0,25.14963,9e-05,23.887881,24.512131,25.239103,24.752296,23.998554,25.491888,39.0,333.723975,25.149636000000044,333.72378,25.149441000000024
19.0,22.0,17.89499,1e-05,19.942512,19.499631,19.063709,19.34233,19.48722,18.920721,41.0,351.618952,17.894976999999983,351.618501,17.894721000000004
